Periodo/Año/Mes,Entidad federativa,Ocupantes de viviendas particulares ubicadas en localidades urbanas que habitan en viviendas precarias
1992,Nacional,18656587
1994,Nacional,16748649
1996,Nacional,17495845
1998,Nacional,16314128
2000,Nacional,14145571
2002,Nacional,12651914
2004,Nacional,11111485
2005,Nacional,9413018
2006,Nacional,9871487
2008,Nacional,11732872
2010,Nacional,10946550
2012,Nacional,12492872
2014,Nacional,9762521
2016,Nacional,9730182
2018,Nacional,9673484
2020,Nacional,8467101
2022,Nacional,8512953
2024,Nacional,6661557
1992,Nacional,52291855
1994,Nacional,53940082
1996,Nacional,56400798
1998,Nacional,57996330
2000,Nacional,60023602
2002,Nacional,62350602
2004,Nacional,64389346
2005,Nacional,65368254
2006,Nacional,67798122
2008,Nacional,69718568
2010,Nacional,71561510
2012,Nacional,73214176
2014,Nacional,74832715
2016,Nacional,75266917
2018,Nacional,75155402
2020,Nacional,78907578
2022,Nacional,78219023
2024,Nacional,81196945
