Periodo,Entidad federativa,Participacion de los hidrocarburos a nivel nacional
2002,Nacional,91.64674
2003,Nacional,91.51222
2004,Nacional,90.91891
2005,Nacional,90.48029
2006,Nacional,90.23975
2007,Nacional,89.68938
2008,Nacional,89.32657
2009,Nacional,89.77914
2010,Nacional,89.12485
2011,Nacional,87.72659
2012,Nacional,88.7001
2013,Nacional,88.30694
2014,Nacional,87.9008
2015,Nacional,87.20282
2016,Nacional,86.78681
2017,Nacional,84.53696
2018,Nacional,82.87291
2019,Nacional,83.93055
2020,Nacional,84.06363
2021,Nacional,81.564
2022,Nacional,80.71374
2023,Nacional,82.08557
