fecha,entidad federativa,Toneladas CO2
1990,Nacional,267366347.2
1991,Nacional,276752006.9
1992,Nacional,278940848.3
1993,Nacional,278661701.7
1994,Nacional,298709047.5
1995,Nacional,284972649.4
1996,Nacional,293922686.7
1997,Nacional,308046790.7
1998,Nacional,327501787
1999,Nacional,325996058.3
2000,Nacional,340131767.8
2001,Nacional,341207024.7
2002,Nacional,345317129.5
2003,Nacional,358427398.2
2004,Nacional,373646132.7
2005,Nacional,385162739.9
2006,Nacional,391660042.2
2007,Nacional,405780440.6
2008,Nacional,412711655.9
2009,Nacional,408862250.7
2010,Nacional,413115615.9
2011,Nacional,437066812.7
2012,Nacional,434485215.1
2013,Nacional,435242150.1
2014,Nacional,411734972.2
2015,Nacional,455222604.1
2016,Nacional,483115848.8
2017,Nacional,472949724.5
2018,Nacional,476825717.8
2019,Nacional,469493216.4
2020,Nacional,385688688.9
2021,Nacional,423793448.9
2022,Nacional,426779508.2
2023,Nacional,418866295.2
