"smca","red","nombre_estacion","clave_estacion","nombre_contaminante","clave_contaminante","fecha","hora","valor","unidades","longitud","latitud"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","4","0.68","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","5","0.15","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","6","0.71","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","7","0.78","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","8","0.12","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","9","0.9","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","10","0.77","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","11","0.68","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","12","1.93","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","13","1.35","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","14","0.62","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","15","0.58","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","16","0.48","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","17","1.41","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","18","0.61","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","19","0.37","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","20","0.25","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","21","0.31","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","22","0.24","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-13","23","0.62","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","2","0.8","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","3","0.23","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","4","0.5","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","5","0.08","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","6","0.22","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","7","0.26","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","8","0.48","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","9","1.41","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","10","0.19","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","11","0.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","12","0.29","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","13","0.36","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","14","0.14","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","15","0.19","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","16","0.39","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","17","0.19","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","18","0.27","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","19","0.49","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","20","0.43","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","21","0.21","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","22","0.08","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-14","23","0.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","0","0.02","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","2","0.01","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","4","0.02","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","5","0.01","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","6","0.21","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","7","0.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","8","0.07","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","9","0.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","10","0.15","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","11","0.12","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","12","0.11","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","14","0.03","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-15","15","0.01","ppm","20.97327222","-89.62481111"
