Sistema, Area, Hora, Generacion (MWh), Importacion Total (MWh), Exportacion Total (MWh), Intercambio neto entre Gerencias (MWh), Estimacion de Demanda por Balance (MWh) 
BCA,BCA,1,1627.97557,427.26575,221.08386,               ---,1834.15746
BCA,BCA,2,1575.45115,380.10875,206.35028,               ---,1749.20962
BCA,BCA,3,1513.15268,354.15692,194.48385,               ---,1672.82575
BCA,BCA,4,1480.72783,339.9588,210.16027,               ---,1610.52636
BCA,BCA,5,1496.13777,254.04879,184.27625,               ---,1565.91031
BCA,BCA,6,1513.44652,163.00648,149.20231,               ---,1527.25069
BCA,BCA,7,1504.11943,139.92,148.0917,               ---,1495.94773
BCA,BCA,8,1518.79328,117.75051,135.25264,               ---,1501.29115
BCA,BCA,9,1551.35714,97.78617,90.79566,               ---,1558.34765
BCA,BCA,10,1615.59008,128.73254,108.2575,               ---,1636.06513
BCA,BCA,11,1750.04744,121.16524,128.02913,               ---,1743.18354
BCA,BCA,12,1858.67752,168.32711,178.82034,               ---,1848.18429
BCA,BCA,13,1764.89634,337.67337,141.21687,               ---,1961.35284
BCA,BCA,14,1726.78349,438.83533,111.01893,               ---,2054.59989
BCA,BCA,15,1764.29417,467.63888,89.47792,               ---,2142.45513
BCA,BCA,16,1864.314,453.54795,115.66727,               ---,2202.19468
BCA,BCA,17,1863.50965,488.96499,120.19001,               ---,2232.28463
BCA,BCA,18,1926.47068,468.48661,176.8564,               ---,2218.10089
BCA,BCA,19,1812.42102,601.99812,266.91141,               ---,2147.50773
BCA,BCA,20,1807.34806,550.47483,208.6062,               ---,2149.21669
BCA,BCA,21,1792.26664,500.14883,170.46204,               ---,2121.95342
BCA,BCA,22,1817.98383,372.24297,145.1661,               ---,2045.0607
BCA,BCA,23,1812.92473,258.05208,130.5774,               ---,1940.3994
BCA,BCA,24,1814.94099,107.19728,84.65939,               ---,1837.47888
BCS,BCA,1,366.79467,0,0,               ---,366.79467
BCS,BCA,2,352.13696,0,0,               ---,352.13696
BCS,BCA,3,337.49178,0,0,               ---,337.49178
BCS,BCA,4,327.17477,0,0,               ---,327.17477
BCS,BCA,5,321.89849,0,0,               ---,321.89849
BCS,BCA,6,321.20294,0,0,               ---,321.20294
BCS,BCA,7,318.1199,0,0,               ---,318.1199
BCS,BCA,8,333.41049,0,0,               ---,333.41049
BCS,BCA,9,352.08264,0,0,               ---,352.08264
BCS,BCA,10,369.46968,0,0,               ---,369.46968
BCS,BCA,11,383.65585,0,0,               ---,383.65585
BCS,BCA,12,391.73271,0,0,               ---,391.73271
BCS,BCA,13,400.78123,0,0,               ---,400.78123
BCS,BCA,14,413.45403,0,0,               ---,413.45403
BCS,BCA,15,427.9169,0,0,               ---,427.9169
BCS,BCA,16,438.13058,0,0,               ---,438.13058
BCS,BCA,17,443.16199,0,0,               ---,443.16199
BCS,BCA,18,438.36083,0,0,               ---,438.36083
BCS,BCA,19,425.72766,0,0,               ---,425.72766
BCS,BCA,20,428.04089,0,0,               ---,428.04089
BCS,BCA,21,423.7607,0,0,               ---,423.7607
BCS,BCA,22,414.76346,0,0,               ---,414.76346
BCS,BCA,23,396.40986,0,0,               ---,396.40986
BCS,BCA,24,375.78938,0,0,               ---,375.78938
SIN,CEN,1,3641.81516,0,0,2390.786,6032.60116
SIN,CEN,2,3251.8651,0,0,2327.761,5579.6261
SIN,CEN,3,3149.3458,0,0,2246.235,5395.5808
SIN,CEN,4,3144.70784,0,0,2295.437,5440.14484
SIN,CEN,5,2936.84377,0,0,2496.503,5433.34677
SIN,CEN,6,2704.91583,0,0,2721.344,5426.25983
SIN,CEN,7,2702.32917,0,0,2769.976,5472.30517
SIN,CEN,8,2731.37574,0,0,2651.402,5382.77774
SIN,CEN,9,2591.16784,0,0,2950.911,5542.07884
SIN,CEN,10,2582.82552,0,0,3168.638,5751.46352
SIN,CEN,11,2602.43124,0,0,3383.343,5985.77424
SIN,CEN,12,2599.88994,0,0,3343.901,5943.79094
SIN,CEN,13,2892.96103,0,0,3290.503,6183.46403
SIN,CEN,14,2916.01927,0,0,3377.985,6294.00427
SIN,CEN,15,3015.04485,0,0,3373.368,6388.41285
SIN,CEN,16,3065.64905,0,0,3364.794,6430.44305
SIN,CEN,17,3054.39114,0,0,3321.925,6376.31614
SIN,CEN,18,3033.90546,0,0,3699.464,6733.36946
SIN,CEN,19,3269.60331,0,0,3584.509,6854.11231
SIN,CEN,20,3827.28795,0,0,3552.069,7379.35695
SIN,CEN,21,3854.00701,0,0,3481.471,7335.47801
SIN,CEN,22,3842.5567,0,0,3355.696,7198.2527
SIN,CEN,23,3852.93676,0,0,2891.877,6744.81376
SIN,CEN,24,3580.98283,0,0,2618.591,6199.57383
SIN,NES,1,8410.00959,0,0.81939,-2603.642,5805.5482
SIN,NES,2,8210.14915,0,0.82351,-2564.123,5645.20264
SIN,NES,3,7942.5582,0,0.82384,-2418.54,5523.19436
SIN,NES,4,7710.43291,0,0.82496,-2314.289,5395.31895
SIN,NES,5,7818.27107,0,0.82492,-2514.508,5302.93815
SIN,NES,6,7828.79159,0,0.82626,-2555.357,5272.60833
SIN,NES,7,7679.80542,0,0.8281,-2511.876,5167.10131
SIN,NES,8,7119.58931,0,0.82391,-2010.098,5108.6674
SIN,NES,9,6239.28729,0,0.81173,-1131.485,5106.99056
SIN,NES,10,6174.92108,0,0.80151,-1080.588,5093.53157
SIN,NES,11,6798.30248,0,0.78658,-1587.357,5210.1589
SIN,NES,12,6341.28165,0,0.78398,-1104.921,5235.57667
SIN,NES,13,6442.55529,0,0.77987,-1116.788,5324.98743
SIN,NES,14,6716.1736,0,0.77141,-1241.133,5474.2692
SIN,NES,15,7335.73028,0,0.77325,-1658.919,5676.03804
SIN,NES,16,7749.86252,0,0.77467,-2000.65,5748.43785
SIN,NES,17,8290.19263,0,0.77517,-2304.739,5984.67846
SIN,NES,18,9325.6589,0,0.77596,-3161.453,6163.42994
SIN,NES,19,9951.48055,0,0.77742,-3752.186,6198.51712
SIN,NES,20,9651.44444,0,0.78254,-3137.539,6513.1229
SIN,NES,21,9702.07133,0,0.78881,-3166.376,6534.90651
SIN,NES,22,9478.84934,0,0.80054,-2939.348,6538.70081
SIN,NES,23,9454.8307,0,0.80609,-2950.361,6503.66361
SIN,NES,24,9300.33589,0,0.81133,-2937.961,6361.56356
SIN,NOR,1,3660.44371,0,0,-267.194,3393.24971
SIN,NOR,2,3579.7836,0,0,-321.024,3258.7596
SIN,NOR,3,3561.53124,0,0,-426.329,3135.20224
SIN,NOR,4,3533.77,0,0,-505.107,3028.663
SIN,NOR,5,3544.15298,0,0,-610.045,2934.10798
SIN,NOR,6,3503.44976,0,0,-652.6,2850.84976
SIN,NOR,7,3092.04784,0,0,-332.78,2759.26784
SIN,NOR,8,2624.15783,0,0,5.863,2630.02083
SIN,NOR,9,2633.03766,0,0,-5.235,2627.80266
SIN,NOR,10,2735.8006,0,0,-46.83,2688.9706
SIN,NOR,11,2764.21172,0,0,0.578,2764.78972
SIN,NOR,12,3123.00553,0,0,-270.072,2852.93353
SIN,NOR,13,3404.75139,0,0,-452.02,2952.73139
SIN,NOR,14,3572.87713,0,0,-484.212,3088.66513
SIN,NOR,15,3646.53515,0,0,-398.771,3247.76415
SIN,NOR,16,3709.30694,0,0,-389.902,3319.40494
SIN,NOR,17,3578.04437,0,0,-195.841,3382.20337
SIN,NOR,18,3518.43149,0,0,-110.681,3407.75049
SIN,NOR,19,3512.02657,0,0,-162.594,3349.43257
SIN,NOR,20,3390.82583,0,0,-127.843,3262.98283
SIN,NOR,21,3404.95743,0,0,-69.19,3335.76743
SIN,NOR,22,3633.19161,0,0,-240.348,3392.84361
SIN,NOR,23,3413.65651,0,0,-10.253,3403.40351
SIN,NOR,24,3388.67586,0,0,-7.987,3380.68886
SIN,NTE,1,3202.56869,0,0,-18.866,3183.70269
SIN,NTE,2,3045.25427,0,0,65.63,3110.88427
SIN,NTE,3,3044.39349,0,0,6.422,3050.81549
SIN,NTE,4,3075.929,0,0,-61.378,3014.551
SIN,NTE,5,3066.00818,0,0,-77.234,2988.77418
SIN,NTE,6,2894.4616,0,0,87.195,2981.6566
SIN,NTE,7,2842.38652,0,0,138.826,2981.21252
SIN,NTE,8,2878.5322,0,0,53.612,2932.1442
SIN,NTE,9,3090.41847,0,0,-203.424,2886.99447
