"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2026"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/mar/2026 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/02/2026","1","3894.8622","0.4761","26.7792","857.7328","21712.0706","262.4282","401.8165","1214.6295","1493.5531","1625.8543","792.3885"
"SEN","01/02/2026","2","3789.58","0.1282","26.4931","858.1662","20794.8432","258.969","396.8325","1380.6532","1337.0336","1479.8593","796.2802"
"SEN","01/02/2026","3","3486.5756","0.125","26.7985","857.0033","20186.0074","245.7735","394.9663","1567.9959","1280.658","1439.5536","789.8484"
"SEN","01/02/2026","4","3099.3636","0.13","26.5739","853.7233","20285.231","254.0105","394.6491","1363.9284","1279.2536","1589.2096","788.8402"
"SEN","01/02/2026","5","2795.6558","0.1275","26.5999","852.3151","20394.622","254.0094","394.2195","1164.4137","1278.7865","1620.2072","780.7522"
"SEN","01/02/2026","6","2633.6416","0.128","26.3336","851.369","20727.6099","254.4317","394.0055","1151.2795","1278.0154","1618.4342","777.6747"
"SEN","01/02/2026","7","2531.2986","5.0082","14.7017","853.0496","20908.6516","255.8853","394.2058","1142.6139","1280.024","1587.7395","784.9456"
"SEN","01/02/2026","8","2402.453","169.2552","23.0321","848.766","20567.6762","248.7478","394.007","1416.0621","1280.9621","1511.559","794.2322"
"SEN","01/02/2026","9","2318.5919","1626.7259","26.4424","852.1415","19399.4911","240.9789","392.9831","1521.1702","1283.0689","1332.7442","791.8422"
"SEN","01/02/2026","10","2157.3109","3690.143","25.9821","851.3953","17852.0243","236.9964","391.7685","1394.814","1285.8263","1277.3964","788.1626"
"SEN","01/02/2026","11","2162.8388","4427.5377","25.6394","850.7373","17131.5846","232.281","386.7572","1295.388","1286.3684","1276.3991","785.0228"
"SEN","01/02/2026","12","2232.8464","4715.9209","26.2817","848.7426","16414.1897","238.7366","380.4937","1148.939","1286.8246","1302.6433","788.7305"
"SEN","01/02/2026","13","2533.2955","4535.3696","26.7738","850.7957","16085.9514","232.7001","380.7132","1109.8569","1285.9106","1322.9728","807.3829"
"SEN","01/02/2026","14","2402.8514","4499.1646","26.9435","852.0261","16033.5076","241.6958","379.0792","1319.2176","1286.4928","1286.7945","864.1028"
"SEN","01/02/2026","15","2563.3126","4289.4851","26.9406","855.7107","16317.0787","241.0025","379.195","1442.9825","1284.5659","1259.5285","880.915"
"SEN","01/02/2026","16","2998.7691","4226.257","26.5631","856.7018","16392.6841","244.0199","378.9613","945.633","1287.8881","1280.414","918.695"
"SEN","01/02/2026","17","3283.5339","3561.29","26.2749","850.9204","17615.3685","249.5986","379.7075","1119.9884","1290.3875","1320.9792","931.3454"
"SEN","01/02/2026","18","3506.5706","2093.3867","26.3767","847.935","19078.8994","279.6693","380.955","1786.9219","1286.4751","1575.6763","929.4494"
"SEN","01/02/2026","19","3535.863","233.6153","26.514","847.567","21088.3334","298.0504","380.896","3262.6149","1284.9318","1719.7087","920.4764"
"SEN","01/02/2026","20","3607.9375","16.977","26.6462","846.1316","21811.1281","287.1245","381.6741","4346.4358","1278.9891","1738.0498","895.2055"
"SEN","01/02/2026","21","3599.2502","12.5312","26.1542","846.2289","21881.4509","284.8874","381.8604","4334.1184","1238.7182","1737.4341","886.8849"
"SEN","01/02/2026","22","3478.1384","12.1723","25.9653","844.7874","21802.0731","281.1856","382.2671","3672.7196","1244.7765","1724.9153","882.2757"
"SEN","01/02/2026","23","3656.4438","10.1983","23.6155","843.3509","21052.66","260.9613","382.2217","3059.2518","1262.7277","1723.7951","833.6152"
"SEN","01/02/2026","24","3710.8947","8.1337","26.3803","846.8834","20654.0211","256.2625","382.5485","1836.9914","1301.1696","1684.3112","787.9866"
"SEN","02/02/2026","1","3509.4946","0.7195","26.5566","845.3046","19968.781","261.5941","388.7241","1404.9985","1304.9264","1599.8744","786.5349"
"SEN","02/02/2026","2","3281.0946","0.085","25.569","847.3914","19199.6985","245.2929","389.8363","1292.3117","1330.5015","1402.0245","791.6293"
"SEN","02/02/2026","3","3055.6165","0.0839","23.3041","845.0802","18774.7121","249.5542","398.4876","1356.0118","1341.9321","1354.8741","788.9223"
"SEN","02/02/2026","4","2834.7543","0.0995","26.4524","846.0271","18285.7667","241.7532","403.577","1548.1865","1351.9769","1301.1478","791.9205"
"SEN","02/02/2026","5","2861.7795","0.1367","26.7627","844.2864","18173.7851","241.6092","403.4117","1516.0811","1373.2172","1291.8156","791.1435"
"SEN","02/02/2026","6","2980.3007","0.1343","26.6027","846.3924","18065.536","240.0245","403.6697","1741.2505","1375.4316","1291.0334","794.6521"
"SEN","02/02/2026","7","3187.3326","8.2044","26.4531","849.9967","17973.2867","239.2667","403.9269","2091.2091","1403.2793","1297.0704","800.2209"
"SEN","02/02/2026","8","3317.2437","291.712","26.7264","855.9321","17739.1532","237.3841","403.2363","2119.7756","1417.7841","1294.7907","848.7075"
"SEN","02/02/2026","9","3270.0189","1903.0579","27.0472","857.5911","17208.1149","229.0038","403.5759","1836.7097","1423.2821","1275.16","846.0241"
"SEN","02/02/2026","10","3380.3441","3559.4426","27.1984","857.1221","16581.6451","221.7688","402.8114","1090.8428","1449.3071","1258.9143","844.0969"
"SEN","02/02/2026","11","3852.4529","3710.1386","27.1417","855.2678","16253.4098","205.1996","401.5977","962.2612","1458.8585","1259.7722","846.0482"
"SEN","02/02/2026","12","4163.4306","3891.6307","27.1509","781.4547","15617.9469","204.9062","400.2311","1050.4639","1458.5514","1261.7638","854.5958"
"SEN","02/02/2026","13","4139.7982","4236.098","25.3502","671.0968","15368.0182","207.2884","399.5237","1100.8462","1463.7406","1260.7293","855.5131"
"SEN","02/02/2026","14","4291.9492","4259.7665","25.4248","685.0534","15389.3202","209.6033","398.8021","1107.0256","1481.2071","1262.0894","863.4185"
"SEN","02/02/2026","15","4421.2261","4473.4359","26.2534","716.4327","15348.8723","228.2044","398.2717","993.0809","1493.0648","1237.7474","945.6428"
"SEN","02/02/2026","16","4584.5634","4746.1967","26.1126","766.4599","15345.867","230.6489","398.4786","1201.6447","1497.1528","1220.9631","978.9191"
"SEN","02/02/2026","17","4676.2759","3784.7161","26.3411","805.7936","16217.9092","242.9296","398.2299","1994.6993","1496.6818","1256.5922","994.6918"
"SEN","02/02/2026","18","4820.1532","2161.5723","26.1925","807.4955","17394.0316","310.4223","398.8322","2799.5365","1494.9099","1436.8738","1095.9567"
"SEN","02/02/2026","19","4797.4476","263.3861","25.8242","808.9326","19315.2058","335.7396","399.0929","4492.9178","1493.4267","1581.8676","1120.8945"
"SEN","02/02/2026","20","4780.3341","17.1957","26.213","808.1641","20707.5659","292.2194","400.2576","5111.18","1492.5674","1590.4489","1139.4498"
"SEN","02/02/2026","21","4703.2486","12.5653","25.9806","807.2317","20755.2353","287.1581","401.2279","5032.4021","1493.2732","1584.5519","1135.1768"
"SEN","02/02/2026","22","4677.6677","10.3305","26.0243","807.3792","20566.8166","278.4866","401.9953","4264.9939","1494.0494","1587.3578","1072.6535"
"SEN","02/02/2026","23","4611.0705","10.1963","20.5819","808.6754","19728.6326","277.0084","401.5616","3544.3511","1492.1383","1584.596","1009.5836"
"SEN","02/02/2026","24","4375.9917","8.3917","19.8644","809.8788","19104.3782","283.7997","401.7859","2463.5553","1491.7565","1582.835","958.5063"
"SEN","03/02/2026","1","4226.0732","0.7794","24.9622","808.7296","18725.7318","273.242","401.441","1738.748","1493.4243","1461.9486","821.3086"
"SEN","03/02/2026","2","4196.7355","0.138","25.1321","808.7259","17827.895","266.9923","401.9631","1490.2339","1493.5285","1335.7089","818.4944"
"SEN","03/02/2026","3","4177.2794","0.1356","26.1858","809.8704","17530.3344","270.8755","400.9656","1411.687","1497.2009","1282.2944","821.848"
"SEN","03/02/2026","4","4083.9062","0.134","26.4594","810.2623","17293.448","254.1709","400.9069","1433.546","1495.1645","1293.5417","818.1152"
"SEN","03/02/2026","5","4026.866","0.1321","26.227","810.0023","17457.2428","257.4508","401.2729","1711.6554","1494.9243","1297.5426","818.0725"
"SEN","03/02/2026","6","3934.0367","0.1325","24.0911","810.1663","18086.1037","261.4165","401.6761","2329.9409","1494.5337","1377.0858","864.9083"
"SEN","03/02/2026","7","3890.1809","12.5368","27.1204","810.3786","19388.1491","269.4655","401.9438","3122.2498","1495.2752","1545.9537","910.6361"
"SEN","03/02/2026","8","3705.7533","370.1433","26.9513","811.2057","20768.1584","261.8815","401.783","3411.232","1493.6485","1653.2849","989.2941"
"SEN","03/02/2026","9","3713.6753","2912.6712","26.9864","902.1026","20300.1656","243.9472","400.2319","2526.5127","1488.3214","1651.2704","1009.4436"
"SEN","03/02/2026","10","3778.0605","5342.2347","27.0681","945.7786","18699.2174","238.3838","397.6976","2163.9544","1493.5229","1635.7608","1021.9953"
"SEN","03/02/2026","11","3896.6332","6126.1442","27.0823","946.7411","17838.4207","232.1512","396.4959","2021.6784","1492.8957","1647.126","1015.5016"
"SEN","03/02/2026","12","3880.6604","6264.6672","26.1831","953.3934","18072.5323","232.8544","398.2733","1708.1125","1491.5224","1707.2645","1043.6841"
"SEN","03/02/2026","13","3447.4758","6258.6303","26.0297","945.8236","18382.2868","240.2235","397.3102","1632.8078","1491.0814","1743.1393","1099.3208"
"SEN","03/02/2026","14","3147.5388","6097.1275","26.3649","944.1609","18716.1332","246.0051","398.1602","2063.6587","1493.5189","1766.748","1126.2662"
"SEN","03/02/2026","15","3040.0241","5825.5667","26.1723","944.8191","19204.6851","302.4484","397.7918","2517.1442","1491.3662","1708.8471","1127.2051"
"SEN","03/02/2026","16","3020.6454","4857.1414","26.1596","960.9212","19964.1011","415.9634","393.1604","3425.0038","1490.6199","1735.8638","1164.4843"
"SEN","03/02/2026","17","3214.054","4268.2678","27.1574","1071.0777","20582.6431","519.5116","396.5149","3745.7169","1488.5476","1818.1801","1223.3651"
"SEN","03/02/2026","18","3616.3056","2294.8367","27.3109","1239.9643","22173.8169","555.1712","401.9992","3821.9042","1485.9118","1822.9981","1231.3154"
"SEN","03/02/2026","19","4091.9924","248.591","25.4828","1253.2943","23520.9867","568.1605","402.8297","4950.5402","1484.8765","1875.8314","1275.3825"
"SEN","03/02/2026","20","4355.5669","11.3909","25.3607","1159.7509","24111.5818","537.925","403.1561","5495.2042","1484.3771","1962.9738","1254.2082"
"SEN","03/02/2026","21","4227.8696","3.828","10.9333","856.175","24536.7365","433.5677","403.7783","5168.2365","1483.9388","1977.8258","1204.6398"
"SEN","03/02/2026","22","4030.091","0.2274","2.6542","835.9629","24500.0507","382.3258","403.7545","4493.9751","1484.3964","2099.1163","1186.7228"
"SEN","03/02/2026","23","3824.4314","0.1703","2.5038","883.0791","23428.0458","377.9711","403.499","3984.0877","1486.3807","2260.4","1146.0208"
"SEN","03/02/2026","24","3485.016","0.1522","4.368","923.3233","22825.6823","343.5319","405.1157","2919.4174","1488.5062","2251.7023","1110.8329"
"SEN","04/02/2026","1","2969.7104","0.1251","22.524","935.1081","22314.438","219.7294","399.4375","2340.6957","1491.721","2255.3079","1020.9324"
"SEN","04/02/2026","2","2626.0348","0.1228","26.6597","827.4473","22048.8778","159.026","397.7203","2017.831","1494.7199","2258.1235","979.2355"
"SEN","04/02/2026","3","2197.5907","0.1277","26.5051","814.4891","21940.2683","159.0521","396.8136","1868.8638","1498.0156","2251.5457","960.1106"
"SEN","04/02/2026","4","2048.0131","0.1382","26.1897","814.5007","22183.1438","162.6582","394.6818","1338.7012","1498.4727","2240.6038","961.6829"
"SEN","04/02/2026","5","2359.4114","0.1356","26.0763","814.0985","22090.8602","167.4938","391.3261","1397.9325","1498.7335","2239.4551","957.7453"
"SEN","04/02/2026","6","2628.1482","0.1428","24.3514","813.1467","22312.5604","173.5369","389.7037","1633.4102","1498.9003","2258.3903","968.6506"
"SEN","04/02/2026","7","2704.4796","8.4147","26.4662","816.4714","23121.8089","172.6884","377.9079","2488.2795","1498.4323","2320.0393","1063.1062"
"SEN","04/02/2026","8","2921.4405","348.1223","26.8455","877.173","23405.2296","160.6735","377.6074","3033.4145","1498.3552","2307.0455","1110.4557"
"SEN","04/02/2026","9","3283.4005","2531.5382","26.746","896.7529","22008.6765","158.1958","360.4802","2917.6226","1498.3724","2205.5423","1095.0105"
