categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),414312577.47,131758540.43,32753130.32,1304436.06,0,0,0,0,599119.93,0,0,0,0,0,0,0,0,0,0.327,449177.7,119964.71,43.02,0,15.371,0,389.109,72047.89,581369442.32,91743.89
EMISIONES Sin UTCUTS,407474252.5,131236620.43,32531850.26,1304436.06,0,0,0,0,599119.93,0,0,0,0,0,0,0,0,0,0.327,449177.7,119964.71,43.02,0,15.371,0,389.109,72047.89,573787917.3,
EMISIONES NETAS (Emisiones + Absorciones),205005841.07,131758540.43,32753130.32,1304436.06,0,0,0,0,599119.93,0,0,0,0,0,0,0,0,0,0.327,449177.7,119964.71,43.02,0,15.371,0,389.109,72047.89,372062705.92,
[1] Energía,359628574.46,26055817.29,3416986.41,,,,,,,,,,,,,,,,,,,,,,,,,389101378.17,85208.9
[1A] Actividades de quema del combustible,340131767.77,982400.04,3384817.04,,,,,,,,,,,,,,,,,,,,,,,,,344498984.85,77881.64
[1A1] Industrias de la energía,151915183.59,148553.26,304310.07,,,,,,,,,,,,,,,,,,,,,,,,,152368046.93,19521.27
[1A1a] Actividad principal producción de electricidad y calor,121025221.72,128523.42,275478.48,,,,,,,,,,,,,,,,,,,,,,,,,121429223.62,17992.22
[1A1b] Refinación del petróleo,9226635.97,7483.35,12344.18,,,,,,,,,,,,,,,,,,,,,,,,,9246463.49,1223.77
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,21663325.91,12546.49,16487.42,,,,,,,,,,,,,,,,,,,,,,,,,21692359.82,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1528978.15,7.645,,,,,,,,,,,,,,,,,,,,,,,,,,1528985.8,
1A1cii Otras Industrias de la energía  ,20134347.76,12538.85,16487.42,,,,,,,,,,,,,,,,,,,,,,,,,20163374.02,305.281
[1A2] Industrias manufactura y de la construcción,42047361.06,74774.52,106065.05,,,,,,,,,,,,,,,,,,,,,,,,,42228200.63,1372.55
[1A2a] Hierro y acero,2783689.07,2160.93,3456.64,,,,,,,,,,,,,,,,,,,,,,,,,2789306.63,75.959
[1A2b] Metales no ferrosos,1572819.73,1310.6,2188.28,,,,,,,,,,,,,,,,,,,,,,,,,1576318.6,33.612
[1A2c] Sustancias químicas,9528332.75,6691.95,9971.89,,,,,,,,,,,,,,,,,,,,,,,,,9544996.58,186.176
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,9236123.38,6543.32,9819.86,,,,,,,,,,,,,,,,,,,,,,,,,9252486.57,185.343
1A2ciii Fertilizantes,292209.36,148.624,152.031,,,,,,,,,,,,,,,,,,,,,,,,,292510.02,0.833
"[1A2d] Pulpa, papel e imprenta",2743612.8,2059.92,3226.18,,,,,,,,,,,,,,,,,,,,,,,,,2748898.9,69.194
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",3718112.99,42222.38,55289.55,,,,,,,,,,,,,,,,,,,,,,,,,3815624.91,663.742
1A2ei elaboración de azúcares,2271121.25,41016.24,53273.76,,,,,,,,,,,,,,,,,,,,,,,,,2365411.25,625.381
1A2eii elaboración de bebidas,538784.21,471.199,803.388,,,,,,,,,,,,,,,,,,,,,,,,,540058.8,9.563
1A2eiii elaboración de productos de tabaco,18190.41,10.871,13.867,,,,,,,,,,,,,,,,,,,,,,,,,18215.14,0.224
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,890017.13,724.07,1198.53,,,,,,,,,,,,,,,,,,,,,,,,,891939.73,28.574
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,243040.23,127.3,145.205,,,,,,,,,,,,,,,,,,,,,,,,,243312.74,0.647
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,7704551.79,8207.79,14548.07,,,,,,,,,,,,,,,,,,,,,,,,,7727307.65,161.315
