categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,Unnamed: 29,emision_neta_carbono_negro_t
EMISIONES BRUTAS (con UTCUTS),473377332.852,140466221.167,33159041.941,3784138.996,1882.505,0.0,0.0,0.0,2194032.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,1012.943,565.292,113.313,0.001,40.487,0.001,1024.911,117439.653,653102847.803,,74035.485
EMISIONES Sin UTCUTS,461013922.875,139923347.259,32942810.37,3784138.996,1882.505,0.0,0.0,0.0,2194032.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,1012.943,565.292,113.313,0.001,40.487,0.001,1024.911,117439.653,639980332.347,,
EMISIONES NETAS (Emisiones + Absorciones),263283511.904,140466221.167,33159041.941,3784138.996,1882.505,0.0,0.0,0.0,2194032.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,1012.943,565.292,113.313,0.001,40.487,0.001,1024.911,117439.653,443009026.855,,
[1] Energía,407525236.286,25454370.096,3730784.759,,,,,,,,,,,,,,,,,,,,,,,,,436710391.141,,67268.853
[1A] Actividades de quema del combustible,391660042.153,992454.102,3709803.12,,,,,,,,,,,,,,,,,,,,,,,,,396362299.375,,62609.565
[1A1] Industrias de la energía,160129319.17,129898.248,300525.123,,,,,,,,,,,,,,,,,,,,,,,,,160559742.541,,10133.062
[1A1a] Actividad principal producción de electricidad y calor,124905797.408,107842.657,270380.802,,,,,,,,,,,,,,,,,,,,,,,,,125284020.867,,8721.877
[1A1b] Refinación del petróleo,10310547.146,7662.338,11907.957,,,,,,,,,,,,,,,,,,,,,,,,,10330117.442,,1105.904
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,24912974.617,14393.252,18236.363,,,,,,,,,,,,,,,,,,,,,,,,,24945604.233,,305.281
1A1ci Fabricación de combustibles sólidos (coque de carbón),1005737.322,5.029,,,,,,,,,,,,,,,,,,,,,,,,,,1005742.351,,
1A1cii Otras Industrias de la energía  ,23907237.295,14388.223,18236.363,,,,,,,,,,,,,,,,,,,,,,,,,23939861.882,,305.281
[1A2] Industrias manufactura y de la construcción,55101369.306,109430.92,153692.937,,,,,,,,,,,,,,,,,,,,,,,,,55364493.163,,1213.816
[1A2a] Hierro y acero,2974538.704,1866.551,2503.184,,,,,,,,,,,,,,,,,,,,,,,,,2978908.439,,42.57
[1A2b] Metales no ferrosos,1268579.988,941.581,1455.455,,,,,,,,,,,,,,,,,,,,,,,,,1270977.023,,14.889
[1A2c] Sustancias químicas,5304340.457,3655.054,5478.201,,,,,,,,,,,,,,,,,,,,,,,,,5313473.712,,70.155
1A2ci Petroquímica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2cii Industria química,5096161.26,3547.961,5366.773,,,,,,,,,,,,,,,,,,,,,,,,,5105075.994,,69.559
1A2ciii Fertilizantes,208179.197,107.093,111.428,,,,,,,,,,,,,,,,,,,,,,,,,208397.718,,0.596
"[1A2d] Pulpa, papel e imprenta",2430591.098,1729.168,2594.885,,,,,,,,,,,,,,,,,,,,,,,,,2434915.151,,51.451
"[1A2e] Procesamiento de alimentos, bebidas y tabaco",2732870.332,43275.825,55965.549,,,,,,,,,,,,,,,,,,,,,,,,,2832111.705,,635.268
1A2ei elaboración de azúcares,1265739.387,42045.623,53902.144,,,,,,,,,,,,,,,,,,,,,,,,,1361687.153,,597.607
1A2eii elaboración de bebidas,444106.728,427.268,763.989,,,,,,,,,,,,,,,,,,,,,,,,,445297.985,,7.48
1A2eiii elaboración de productos de tabaco,17059.017,9.035,9.874,,,,,,,,,,,,,,,,,,,,,,,,,17077.926,,0.106
1A2eiiii elaboración de cerveza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A2eiiiii elaboración de alimentos,1005965.2,793.899,1289.542,,,,,,,,,,,,,,,,,,,,,,,,,1008048.641,,30.076
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2g] Equipo de transporte,191163.85,115.936,149.588,,,,,,,,,,,,,,,,,,,,,,,,,191429.374,,0.579
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,12283879.78,12811.376,22280.562,,,,,,,,,,,,,,,,,,,,,,,,,12318971.718,,108.084
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2k] Construcción,668599.452,770.923,1459.248,,,,,,,,,,,,,,,,,,,,,,,,,670829.623,,2.963
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1A2m] Industria no especificada,27246805.645,44264.506,61806.266,,,,,,,,,,,,,,,,,,,,,,,,,27352876.417,,287.857
1A2mi Fabricación de vidrio y productos de vidrio,2785404.451,1553.233,1831.489,,,,,,,,,,,,,,,,,,,,,,,,,2788789.173,,24.421
1A2mii Fabricación de productos de hule,432774.973,311.282,463.479,,,,,,,,,,,,,,,,,,,,,,,,,433549.733,,3.786
