categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t,Unnamed: 30
EMISIONES BRUTAS (con UTCUTS),505402373.98,182784909.51,40002357.88,1340366.3,3770675.02,8068.5,201207.02,271.789,9656314.67,12080372.66,311005.9,174390.75,833798.24,55124.03,75398.15,74349.24,32626.41,2031271.3,88364.07,27475.96,3028.85,271.57,0.003,97.14,0.002,2700.88,400994.78,759357814.58,81019.47,
EMISIONES Sin UTCUTS,484922655.79,180281143.21,38769167.0,1340366.3,3770675.02,8068.5,201207.02,271.789,9656314.67,12080372.66,311005.9,174390.75,833798.24,55124.03,75398.15,74349.24,32626.41,2031271.3,88364.07,27475.96,3028.85,271.57,0.003,97.14,0.002,2700.88,400994.78,735141139.21,,
EMISIONES NETAS (Emisiones + Absorciones),293833983.12,182784909.51,40002357.88,1340366.3,3770675.02,8068.5,201207.02,271.789,9656314.67,12080372.66,311005.9,174390.75,833798.24,55124.03,75398.15,74349.24,32626.41,2031271.3,88364.07,27475.96,3028.85,271.57,0.003,97.14,0.002,2700.88,400994.78,547789423.72,,
[1] Energía,437415832.5,20277856.6,2309111.75,,,,,,,,,,,,,,,,,,,,,,,,,460002800.84,70657.79,
[1A] Actividades de quema del combustible,418866295.15,1207868.07,2300590.07,,,,,,,,,,,,,,,,,,,,,,,,,422374753.29,58786.96,
[1A1] Industrias de la energía,158252856.94,119451.66,184786.77,,,,,,,,,,,,,,,,,,,,,,,,,158557095.37,5330.6,
[1A1a] Actividad principal producción de electricidad y calor,133691564.04,105479.95,167283.77,,,,,,,,,,,,,,,,,,,,,,,,,133964327.76,4534.99,
[1A1b] Refinación del petróleo,10251174.0,6451.0,8443.0,,,,,,,,,,,,,,,,,,,,,,,,,10266068.0,612.85,
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,14310118.9,7520.71,9060.0,,,,,,,,,,,,,,,,,,,,,,,,,14326699.61,182.76,
1A1ci Fabricación de combustibles sólidos (coque de carbón),341820.9,1.709,,,,,,,,,,,,,,,,,,,,,,,,,,341822.61,,
1A1cii Otras Industrias de la energía  ,13968298.0,7519.0,9060.0,,,,,,,,,,,,,,,,,,,,,,,,,13984877.0,182.76,
