Sector,Periodo,Indice de emisión por sector
Sector_de_Energía,2019,"490,764.12"
Sector_de_Energía,2018,"494,070.98"
Sector_de_Energía,2017,"499,325.54"
Sector_de_Energía,2016,"535,568.91"
Sector_de_Energía,2015,"494,298.96"
Sector_de_Energía,2014,"486,562.55"
Sector_de_Energía,2013,"487,619.46"
Sector_de_Energía,2012,"487,068.36"
Sector_de_Energía,2011,"495,065.14"
Sector_de_Energía,2010,"480,763.49"
Sector_de_Energía,2009,"495,991.98"
Sector_de_Energía,2008,"512,522.90"
Sector_de_Energía,2007,"471,095.94"
Sector_de_Energía,2006,"443,865.10"
Sector_de_Energía,2005,"433,418.81"
Sector_de_Energía,2004,"417,404.12"
Sector_de_Energía,2003,"408,454.92"
Sector_de_Energía,2002,"412,265.59"
Sector_de_Energía,2001,"393,369.06"
Sector_de_Energía,2000,"397,055.09"
Sector_de_Energía,1999,"383,000.08"
Sector_de_Energía,1998,"394,475.78"
Sector_de_Energía,1997,"372,277.53"
Sector_de_Energía,1996,"350,170.93"
Sector_de_Energía,1995,"330,756.74"
Sector_de_Energía,1994,"341,343.93"
Sector_de_Energía,1993,"321,293.99"
Sector_de_Energía,1992,"318,971.08"
Sector_de_Energía,1991,"317,662.79"
Sector_de_Energía,1990,"306,533.43"
Procesos_industriales_y_uso_de_productos,2019,"73,672.41"
Procesos_industriales_y_uso_de_productos,2018,"74,768.85"
Procesos_industriales_y_uso_de_productos,2017,"70,978.71"
Procesos_industriales_y_uso_de_productos,2016,"67,972.89"
Procesos_industriales_y_uso_de_productos,2015,"66,910.45"
Procesos_industriales_y_uso_de_productos,2014,"68,774.21"
Procesos_industriales_y_uso_de_productos,2013,"65,101.66"
Procesos_industriales_y_uso_de_productos,2012,"62,459.79"
Procesos_industriales_y_uso_de_productos,2011,"62,059.84"
Procesos_industriales_y_uso_de_productos,2010,"64,301.62"
Procesos_industriales_y_uso_de_productos,2009,"56,959.48"
Procesos_industriales_y_uso_de_productos,2008,"60,457.81"
Procesos_industriales_y_uso_de_productos,2007,"57,941.96"
Procesos_industriales_y_uso_de_productos,2006,"55,630.06"
Procesos_industriales_y_uso_de_productos,2005,"51,969.30"
Procesos_industriales_y_uso_de_productos,2004,"58,103.58"
Procesos_industriales_y_uso_de_productos,2003,"48,637.04"
Procesos_industriales_y_uso_de_productos,2002,"46,642.95"
Procesos_industriales_y_uso_de_productos,2001,"47,907.37"
Procesos_industriales_y_uso_de_productos,2000,"49,578.04"
Procesos_industriales_y_uso_de_productos,1999,"48,125.68"
Procesos_industriales_y_uso_de_productos,1998,"44,221.42"
Procesos_industriales_y_uso_de_productos,1997,"43,860.37"
Procesos_industriales_y_uso_de_productos,1996,"40,674.56"
Procesos_industriales_y_uso_de_productos,1995,"36,026.25"
